time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749302279795636177e+09,-4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749302281731289148e+09,-4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749302281756963730e+09,-4.000000000000000000e+00,4.000000000000000000e+00,5.077202002379266332e-05,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001218469679146850e+00,0.000000000000000000e+00
1.749302281828183651e+09,-4.000000000000000000e+00,4.000000000000000000e+00,7.341551819362024389e-06,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002436939358293699e+00,0.000000000000000000e+00
1.749302281879949093e+09,-3.876346924327152887e+00,4.290091780868666049e+00,1.072949144127792742e-01,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435460097238948199e-03,0.000000000000000000e+00
1.749302281880162716e+09,-3.876346924327152887e+00,4.290091780868666049e+00,1.072949144127792742e-01,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990295068753556e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435460097238948199e-03,1.000000000000000000e+00
1.749302281919283628e+09,-3.876346924327152887e+00,4.290091780868666049e+00,1.072799278441425308e-01,9.902990295068752821e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.902990295068752821e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.653929776385782258e-03,0.000000000000000000e+00
1.749302281945475340e+09,-3.876346924327152887e+00,4.290091780868666049e+00,1.073121121371181097e-01,9.903990295068752087e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.903990295068752087e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.872399455532616316e-03,0.000000000000000000e+00
1.749302282007220030e+09,-3.876346924327152887e+00,4.290091780868666049e+00,1.072882297831658782e-01,9.904990295068751352e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.904990295068751352e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.090869134679450375e-03,0.000000000000000000e+00
1.749302282059434891e+09,-3.872261357754651190e+00,4.299510137538196552e+00,1.113625779698916851e-01,4.976134199634655274e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.976134199634655274e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015350300388279071e-03,1.000000000000000000e+00
