time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749303298582728386e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749303306477941036e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749303306499004364e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141546797470944341e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749303306571796894e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141571147929967722e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749303306605796814e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141576604590023081e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000365540903744055e+01,0.000000000000000000e+00
1.749303306678991556e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141583776933990713e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000487387871658740e+01,0.000000000000000000e+00
1.749303306705696106e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141543532279325035e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000609234839573425e+01,0.000000000000000000e+00
1.749303306774013281e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141563389017997920e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000731081807488110e+01,0.000000000000000000e+00
1.749303306815424204e+09,-4.083982311901939610e+00,3.943975392934887747e+00,-3.023055220161224188e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436791017981411282e-03,0.000000000000000000e+00
1.749303306815716028e+09,-4.083982311901939610e+00,3.943975392934887747e+00,-3.023055220161224188e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436791017981411282e-03,1.000000000000000000e+00
