time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749308474769205093e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749308477842384338e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.749308477863552332e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141546797470944341e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000999999999918e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001218469679146850e+00,0.000000000000000000e+00
1.749308477936745167e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141571147929967722e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000001999999999835e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.002436939358293699e+00,0.000000000000000000e+00
1.749308477970639944e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141576604590023081e+00,1.000002999999999753e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000002999999999753e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.003655409037440549e+00,0.000000000000000000e+00
1.749308478044236660e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141583776933990713e+00,1.000003999999999671e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000003999999999671e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.004873878716587399e+00,0.000000000000000000e+00
1.749308478070227623e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141543532279325035e+00,1.000004999999999589e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000004999999999589e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.006092348395734248e+00,0.000000000000000000e+00
1.749308478138599634e+09,-5.000000000000000000e-01,0.000000000000000000e+00,3.141563389017997920e+00,1.000005999999999506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000005999999999506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.007310818074881098e+00,0.000000000000000000e+00
1.749308478197579145e+09,-5.500333587818078129e-01,-8.577646154844166537e-02,-3.068393544503436488e+00,9.900990687184099692e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.900990687184099692e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.216997566857197944e-03,1.000000000000000000e+00
1.749308478197746754e+09,-5.500333587818078129e-01,-8.577646154844166537e-02,-3.068480231843699446e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.901990687184098958e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435467246004032436e-03,0.000000000000000000e+00
1.749308478238593340e+09,-5.500333587818078129e-01,-8.577646154844166537e-02,-3.068432925631454644e+00,9.902990687184098223e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.902990687184098223e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.653936925150866495e-03,0.000000000000000000e+00
1.749308478275309324e+09,-5.500333587818078129e-01,-8.577646154844166537e-02,-3.068404623998782998e+00,9.903990687184097488e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.903990687184097488e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.872406604297700554e-03,0.000000000000000000e+00
1.749308478342431307e+09,-5.500333587818078129e-01,-8.577646154844166537e-02,-3.068416611042161790e+00,9.904990687184096754e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.904990687184096754e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.090876283444534613e-03,0.000000000000000000e+00
1.749308478379827738e+09,-5.509412991522629754e-01,-8.665104045640692476e-02,-3.063794066443485509e+00,4.976134298601537706e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.976134298601537706e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015350499045276607e-03,1.000000000000000000e+00
1.749308478379990101e+09,-5.509412991522629754e-01,-8.665104045640692476e-02,-3.063794708403499101e+00,4.977134298601537839e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.977134298601537839e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233820178192110883e-03,0.000000000000000000e+00
1.749308478434627295e+09,-5.509412991522629754e-01,-8.665104045640692476e-02,-3.063805356135250069e+00,4.978134298601537971e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.978134298601537971e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.452289857338945375e-03,0.000000000000000000e+00
1.749308478468284130e+09,-5.509412991522629754e-01,-8.665104045640692476e-02,-3.063804979763840031e+00,4.979134298601538104e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.979134298601538104e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.670759536485779434e-03,0.000000000000000000e+00
1.749308478534062624e+09,-5.509412991522629754e-01,-8.665104045640692476e-02,-3.063812683284252270e+00,4.980134298601538237e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.980134298601538237e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.889229215632613493e-03,0.000000000000000000e+00
1.749308478579132318e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068668311251710801e+00,3.324492423987451123e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.324492423987451123e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009587960748398530e-03,1.000000000000000000e+00
1.749308478579324484e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068673446932060234e+00,3.325492423987451256e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.325492423987451256e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228057639895232589e-03,0.000000000000000000e+00
1.749308478636726856e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068683508095202850e+00,3.326492423987451388e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.326492423987451388e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446527319042066648e-03,0.000000000000000000e+00
1.749308478662711382e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068692927298080519e+00,3.327492423987451521e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.327492423987451521e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.664996998188900706e-03,0.000000000000000000e+00
1.749308478729593515e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068690890635812352e+00,3.328492423987451654e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.328492423987451654e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.883466677335734765e-03,0.000000000000000000e+00
1.749308478763495207e+09,-5.500673986274565719e-01,-8.662188824383847130e-02,-3.068700365229644511e+00,3.329492423987451787e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.329492423987451787e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.101936356482568824e-03,0.000000000000000000e+00
1.749308478776617765e+09,-5.512770418620930313e-01,-8.601391584435724713e-02,-3.064149062960422665e+00,2.497838865938941267e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.497838865938941267e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.040032671067830624e-03,1.000000000000000000e+00
1.749308478829452276e+09,-5.512770418620930313e-01,-8.601391584435724713e-02,-3.064156279328419163e+00,2.498838865938941400e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.498838865938941400e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.258502350214664899e-03,0.000000000000000000e+00
1.749308478864364862e+09,-5.512770418620930313e-01,-8.601391584435724713e-02,-3.064151840998798004e+00,2.499838865938941532e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.499838865938941532e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.476972029361499392e-03,0.000000000000000000e+00
1.749308478930338621e+09,-5.512770418620930313e-01,-8.601391584435724713e-02,-3.064169284702475071e+00,2.500838865938941665e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500838865938941665e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.695441708508333450e-03,0.000000000000000000e+00
1.749308478964982510e+09,-5.512770418620930313e-01,-8.601391584435724713e-02,-3.064173136462969627e+00,2.501838865938941798e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.501838865938941798e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.913911387655167509e-03,0.000000000000000000e+00
1.749308478972077131e+09,-5.516572592792073904e-01,-8.565554631304550526e-02,-3.064261157881313036e+00,2.001176701097277365e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.001176701097277365e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010310812550284810e-03,1.000000000000000000e+00
1.749308479032629490e+09,-5.516572592792073904e-01,-8.565554631304550526e-02,-3.064274218645418824e+00,2.002176701097277498e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.002176701097277498e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228780491697119302e-03,0.000000000000000000e+00
1.749308479061907291e+09,-5.516572592792073904e-01,-8.565554631304550526e-02,-3.064307976940818801e+00,2.003176701097277631e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.003176701097277631e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.447250170843953361e-03,0.000000000000000000e+00
1.749308479131919622e+09,-5.516572592792073904e-01,-8.565554631304550526e-02,-3.064276731095203488e+00,2.004176701097277764e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.004176701097277764e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.665719849990787420e-03,0.000000000000000000e+00
1.749308479180941343e+09,-5.518634281248320228e-01,-8.557614538647638491e-02,-3.062181381801746483e+00,1.669566144352140416e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.669566144352140416e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.661548358454186960e-04,1.000000000000000000e+00
1.749308479181354523e+09,-5.518634281248320228e-01,-8.557614538647638491e-02,-3.062180363471081801e+00,1.670566144352140332e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.670566144352140332e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.184624514992252863e-03,0.000000000000000000e+00
1.749308479242785215e+09,-5.518634281248320228e-01,-8.557614538647638491e-02,-3.062177961802412529e+00,1.671566144352140248e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.671566144352140248e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.403094194139087356e-03,0.000000000000000000e+00
1.749308479272595406e+09,-5.518634281248320228e-01,-8.557614538647638491e-02,-3.062240508882583701e+00,1.672566144352140164e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.672566144352140164e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.621563873285921414e-03,0.000000000000000000e+00
1.749308479346891403e+09,-5.518634281248320228e-01,-8.557614538647638491e-02,-3.062196578644740264e+00,1.673566144352140080e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673566144352140080e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.840033552432755473e-03,0.000000000000000000e+00
1.749308479379647970e+09,-5.519473319870387140e-01,-8.580932673320537662e-02,-3.062120982928257185e+00,1.433637436630141090e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.433637436630141090e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.008132117444260388e-03,1.000000000000000000e+00
1.749308479382906914e+09,-5.519473319870387140e-01,-8.580932673320537662e-02,-3.062108785686645351e+00,1.434637436630141006e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.434637436630141006e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.226601796591094664e-03,0.000000000000000000e+00
1.749308479457529306e+09,-5.519473319870387140e-01,-8.580932673320537662e-02,-3.062109527064827752e+00,1.435637436630140922e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.435637436630140922e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.445071475737929156e-03,0.000000000000000000e+00
1.749308479495162964e+09,-5.519473319870387140e-01,-8.580932673320537662e-02,-3.062174752768537456e+00,1.436637436630140837e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.436637436630140837e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.663541154884763215e-03,0.000000000000000000e+00
1.749308479566238403e+09,-5.519473319870387140e-01,-8.580932673320537662e-02,-3.062144469862376983e+00,1.437637436630140753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437637436630140753e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.882010834031597274e-03,0.000000000000000000e+00
1.749308479580533504e+09,-5.521633422428882110e-01,-8.599457845249340593e-02,-3.061251333321386436e+00,1.256935660528954706e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256935660528954706e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009375610619406673e-03,1.000000000000000000e+00
1.749308479593820572e+09,-5.521633422428882110e-01,-8.599457845249340593e-02,-3.061270968495342082e+00,1.257935660528954622e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.257935660528954622e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.227845289766240949e-03,0.000000000000000000e+00
1.749308479663040400e+09,-5.521633422428882110e-01,-8.599457845249340593e-02,-3.061257808312657591e+00,1.258935660528954538e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.258935660528954538e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446314968913075441e-03,0.000000000000000000e+00
1.749308479698295355e+09,-5.521633422428882110e-01,-8.599457845249340593e-02,-3.061294566209939561e+00,1.259935660528954454e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259935660528954454e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.664784648059909500e-03,0.000000000000000000e+00
1.749308479765525341e+09,-5.521633422428882110e-01,-8.599457845249340593e-02,-3.061287294447659235e+00,1.260935660528954370e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.260935660528954370e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.883254327206743559e-03,0.000000000000000000e+00
1.749308479776901007e+09,-5.524064921898738101e-01,-8.590056581837457461e-02,-3.063065538992286729e+00,1.119743242072413197e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.119743242072413197e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009412222440275080e-03,1.000000000000000000e+00
1.749308479798519135e+09,-5.524064921898738101e-01,-8.590056581837457461e-02,-3.063069977323547910e+00,1.120743242072413113e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.120743242072413113e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.227881901587109355e-03,0.000000000000000000e+00
1.749308479866526604e+09,-5.524064921898738101e-01,-8.590056581837457461e-02,-3.063084476816442248e+00,1.121743242072413028e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.121743242072413028e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446351580733943848e-03,0.000000000000000000e+00
1.749308479894364834e+09,-5.524064921898738101e-01,-8.590056581837457461e-02,-3.063058897831953509e+00,1.122743242072412944e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.122743242072412944e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.664821259880777907e-03,0.000000000000000000e+00
1.749308479962902308e+09,-5.524064921898738101e-01,-8.590056581837457461e-02,-3.063092822298521423e+00,1.123743242072412860e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123743242072412860e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.883290939027611965e-03,0.000000000000000000e+00
1.749308479982336283e+09,-5.523330955226680716e-01,-8.596559259852892820e-02,-3.060569312246043339e+00,1.010220406582356149e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010220406582356149e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009413300197548264e-03,1.000000000000000000e+00
1.749308479998427629e+09,-5.523330955226680716e-01,-8.596559259852892820e-02,-3.060570275186293099e+00,1.011220406582356065e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.011220406582356065e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.227882979344382539e-03,0.000000000000000000e+00
1.749308480069915295e+09,-5.523581665459786905e-01,-8.596778076124664270e-02,-3.060585903787449435e+00,1.012220406593023229e-03,-1.222204984129261555e-13,4.874970474823702909e-09,-1.222204984129261555e-13,1.012220407982705652e-03,-5.585530610849339078e-08,4.874970474823702909e-09,-5.585530610849339078e-08,3.446352658491217032e-03,0.000000000000000000e+00
1.749308480097196341e+09,-5.523581665459786905e-01,-8.596778076124664270e-02,-3.060557701573674017e+00,1.013220406593023145e-03,-1.222204984129261555e-13,4.874970474823702909e-09,-1.222204984129261555e-13,1.013220407982705568e-03,-5.585530610849339078e-08,4.874970474823702909e-09,-5.585530610849339078e-08,4.664822337638051090e-03,0.000000000000000000e+00
1.749308480167344093e+09,-5.523330955226680716e-01,-8.596559259852892820e-02,-3.060596008982800598e+00,1.014220406594023996e-03,-1.336892223398456805e-13,-5.332419849140152402e-09,-1.336892223398457057e-13,1.014220408114109269e-03,6.109656345836633143e-08,-5.332419849140152402e-09,6.109656345836633143e-08,5.883292016784885149e-03,0.000000000000000000e+00
1.749308480181229353e+09,-5.521995269138130213e-01,-8.603773598187901273e-02,-3.058276622073536899e+00,9.208281377619722402e-04,-7.238655094639834415e-14,-8.306521714034745224e-10,-7.238655094639834415e-14,9.208281385850283817e-04,9.517253805543003419e-09,-8.306521714034747292e-10,9.517253805543008382e-09,1.009413331913713331e-03,1.000000000000000000e+00
