time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749304592471497059e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749304594585238457e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749304594611436605e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141541881569769323e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749304594682790041e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141585312037973754e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749304594733779192e+09,-4.257985909882299858e+00,4.749176791093355554e+00,-3.122693195731830684e+00,9.991009992005665460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009992005665460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436790945708634110e-03,0.000000000000000000e+00
1.749304594734194279e+09,-4.257985909882299858e+00,4.749176791093355554e+00,-3.122693195731830684e+00,9.991009992005665460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009992005665460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436790945708634110e-03,1.000000000000000000e+00
1.749304594772930384e+09,-4.257985909882299858e+00,4.749176791093355554e+00,-3.122708182300467428e+00,9.992009992005664726e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.992009992005664726e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.655260624855468168e-03,0.000000000000000000e+00
1.749304594801354647e+09,-4.257985909882299858e+00,4.749176791093355554e+00,-3.122675998007491849e+00,9.993009992005663991e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.993009992005663991e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.873730304002302227e-03,0.000000000000000000e+00
1.749304594861051559e+09,-4.257985909882299858e+00,4.749176791093355554e+00,-3.122699880361444080e+00,9.994009992005663257e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.994009992005663257e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.092199983149136286e-03,0.000000000000000000e+00
1.749304594928565741e+09,-4.209572468819469115e+00,4.887421359311923119e+00,-3.123854623988591150e+00,4.998502049364601969e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.998502049364601969e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.015387276633530943e-03,1.000000000000000000e+00
1.749304594928778172e+09,-4.209572468819469115e+00,4.887421359311923119e+00,-3.123834115487254870e+00,4.999502049364602102e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.999502049364602102e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.233856955780365219e-03,0.000000000000000000e+00
1.749304594987573147e+09,-4.209572468819469115e+00,4.887421359311923119e+00,-3.123847509742922135e+00,5.000502049364602235e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000502049364602235e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.452326634927199711e-03,0.000000000000000000e+00
1.749304595016965389e+09,-4.209572468819469115e+00,4.887421359311923119e+00,-3.123869408247835100e+00,5.001502049364602367e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001502049364602367e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.670796314074033770e-03,0.000000000000000000e+00
1.749304595078190804e+09,-4.209572468819469115e+00,4.887421359311923119e+00,-3.123862660542323866e+00,5.002502049364602500e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.002502049364602500e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.889265993220867829e-03,0.000000000000000000e+00
1.749304595130080700e+09,-4.196758917309739267e+00,4.886179634963048635e+00,3.123263072437000964e+00,3.334445169815172458e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.334445169815172458e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.009589041566001698e-03,1.000000000000000000e+00
1.749304595133579254e+09,-4.196758917309739267e+00,4.886179634963048635e+00,3.123266875905857276e+00,3.335445169815172591e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.335445169815172591e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.228058720712835974e-03,0.000000000000000000e+00
1.749304595195820570e+09,-4.196758917309739267e+00,4.886179634963048635e+00,3.123259698584250899e+00,3.336445169815172723e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.336445169815172723e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.446528399859670466e-03,0.000000000000000000e+00
1.749304595223072767e+09,-4.196784342471621798e+00,4.886180217864329656e+00,3.123351424534291709e+00,3.337445169816343794e-03,5.107878964580962484e-14,-2.008985818140262339e-09,5.107878964580962484e-14,3.337445172043142835e-03,-8.762854249897445961e-08,-2.008985818140262339e-09,-8.762854249897445961e-08,4.664998079006504525e-03,0.000000000000000000e+00
1.749304595287405252e+09,-4.196758917309739267e+00,4.886179634963048635e+00,3.123299325584664388e+00,3.338445169815587154e-03,1.805815859038698303e-14,7.102475364310427080e-10,1.805815859038697988e-14,3.338445170602838928e-03,3.097978884119379533e-08,7.102475364310427080e-10,3.097978884119379533e-08,5.883467758153338584e-03,0.000000000000000000e+00
1.749304595333987474e+09,-4.179250719851458129e+00,4.929319684813481928e+00,-3.109699232135954006e+00,2.502874306047539292e-03,8.408520409256112386e-15,9.135712258616028110e-11,8.408520409256110808e-15,2.502874306414111516e-03,3.984842215828071183e-09,9.135712258616037157e-11,3.984842215828069528e-09,1.009418505136543479e-03,1.000000000000000000e+00
1.749304595334477901e+09,-4.179250719851458129e+00,4.929319684813481928e+00,-3.109727878345968755e+00,2.503874306047539425e-03,8.408520409256112386e-15,9.135712258616028110e-11,8.408520409256110808e-15,2.503874306414111649e-03,3.984842215828071183e-09,9.135712258616037157e-11,3.984842215828069528e-09,2.227888184283377537e-03,0.000000000000000000e+00
1.749304595396469355e+09,-4.179250719851458129e+00,4.929319684813481928e+00,-3.109730291811839020e+00,2.504874306047539557e-03,8.408520409256112386e-15,9.135712258616028110e-11,8.408520409256110808e-15,2.504874306414111781e-03,3.984842215828071183e-09,9.135712258616037157e-11,3.984842215828069528e-09,3.446357863430211596e-03,0.000000000000000000e+00
