time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749307854812448740e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749307863626644135e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749307863647669315e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141546797470944341e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749307863720719099e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141571147929967722e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749307863754519701e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141576604590023081e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000365540903744055e+01,0.000000000000000000e+00
1.749307863827859879e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141583776933990713e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000487387871658740e+01,0.000000000000000000e+00
1.749307863854654312e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141543532279325035e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000609234839573425e+01,0.000000000000000000e+00
1.749307863922793388e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141563389017997920e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000731081807488110e+01,0.000000000000000000e+00
1.749307863956192493e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141476701677735406e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436791017981411282e-03,0.000000000000000000e+00
1.749307863956417322e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141476701677735406e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.991009995998629406e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436791017981411282e-03,1.000000000000000000e+00
1.749307864022509098e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141524007889980652e+00,9.992009995998628671e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.992009995998628671e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.655260697128245341e-03,0.000000000000000000e+00
1.749307864059504271e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141552309522651854e+00,9.993009995998627937e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.993009995998627937e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.873730376275079400e-03,0.000000000000000000e+00
1.749307864126164436e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141540322479272618e+00,9.994009995998627202e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.994009995998627202e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.092200055421913459e-03,0.000000000000000000e+00
