time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749396504376266956e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749396517823054790e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749396517845437527e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141546797470944341e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749396517917894602e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141571147929967722e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749396517952034473e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141576604590023081e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000299999999775e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000365540903744055e+01,0.000000000000000000e+00
1.749396518025208235e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141583776933990713e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000399999999701e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000487387871658740e+01,0.000000000000000000e+00
1.749396518052256584e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141543532279325035e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000499999999626e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000609234839573425e+01,0.000000000000000000e+00
1.749396518120363474e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141563389017997920e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000599999999551e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000731081807488110e+01,0.000000000000000000e+00
1.749396518586426258e+09,-4.840496376204530549e-01,-8.255167179510269904e-02,-3.068313891370475943e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
1.749396518589353561e+09,-4.840496376204530549e-01,-8.255167179510269904e-02,-3.068400578710738902e+00,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001218469679146850e+00,0.000000000000000000e+00
1.749396518678999901e+09,-4.653482725124802322e-01,-8.674871263796088416e-02,-3.058484692051226084e+00,9.980039924143207716e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.980039924143207716e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218172890126561223e-03,1.000000000000000000e+00
1.749396518679280043e+09,-4.653482725124802322e-01,-8.674871263796088416e-02,-3.058437385838981282e+00,9.981039924143206982e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.981039924143206982e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436642569273395498e-03,0.000000000000000000e+00
1.749396518706808329e+09,-4.633276660711359018e-01,-8.304485056847804580e-02,-3.074628669763151745e+00,4.995255483215895777e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.995255483215895777e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.122801401957734698e-04,1.000000000000000000e+00
