time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749466508138980865e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749466526164664268e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749466526179312468e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141541881569769323e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749466526251001120e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141585312037973754e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749466527076148510e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319536627971946707e-01,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001218469679146850e+00,0.000000000000000000e+00
1.749466527077409983e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319386762285579273e-01,5.000002000000000280e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000002000000000280e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.002436939358293699e+00,0.000000000000000000e+00
1.749466527077687979e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319708605215335062e-01,5.000003000000000419e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000003000000000419e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003655409037440549e+00,0.000000000000000000e+00
1.749466527077849388e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319469781675812747e-01,5.000004000000000559e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000004000000000559e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.004873878716587399e+00,0.000000000000000000e+00
1.749466527078002930e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319674866689175552e-01,5.000005000000000699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000005000000000699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.006092348395734248e+00,0.000000000000000000e+00
1.749466527078154802e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319540924132502902e-01,5.000006000000000839e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000006000000000839e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.007310818074881098e+00,0.000000000000000000e+00
1.749466527078306198e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319321939083373252e-01,5.000007000000000978e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000007000000000978e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.008529287754027948e+00,0.000000000000000000e+00
1.749466527078461647e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319389416138485593e-01,5.000008000000001118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000008000000001118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.009747757433174797e+00,0.000000000000000000e+00
1.749466527078619480e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319427450827044268e-01,5.000009000000001258e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000009000000001258e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.010966227112321647e+00,0.000000000000000000e+00
1.749466527078784704e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319355677610984934e-01,5.000010000000001398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000010000000001398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.012184696791468497e+00,0.000000000000000000e+00
1.749466527078945875e+09,-3.909372393083464736e+00,4.203579988373111753e+00,1.320272937111393041e-01,5.000011000052290377e+00,-4.083793815300225053e-10,-1.618888857480208469e-05,-4.083793815300225053e-10,5.000011003189486658e+00,1.264369000461149561e-04,-1.618888857480208469e-05,1.264369000461149561e-04,5.013403166470615346e+00,0.000000000000000000e+00
1.749466527079169989e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319751947615119825e-01,5.000012000000014112e+00,-9.927764519557767294e-14,3.935543293132855386e-09,-9.927764519557767294e-14,5.000012000000777057e+00,-3.073700159734084567e-08,3.935543293132855386e-09,-3.073700159734084567e-08,5.014621636149762196e+00,0.000000000000000000e+00
1.749466527079339266e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319465485514972336e-01,5.000013000000014252e+00,-9.927764519557767294e-14,3.935543293132855386e-09,-9.927764519557767294e-14,5.000013000000777197e+00,-3.073700159734084567e-08,3.935543293132855386e-09,-3.073700159734084567e-08,5.015840105828909046e+00,0.000000000000000000e+00
1.749466527079508543e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319441350856269679e-01,5.000014000000014391e+00,-9.927764519557767294e-14,3.935543293132855386e-09,-9.927764519557767294e-14,5.000014000000777337e+00,-3.073700159734084567e-08,3.935543293132855386e-09,-3.073700159734084567e-08,5.017058575508055895e+00,0.000000000000000000e+00
1.749466527079679728e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319231969675835892e-01,5.000015000000014531e+00,-9.927764519557767294e-14,3.935543293132855386e-09,-9.927764519557767294e-14,5.000015000000777476e+00,-3.073700159734084567e-08,3.935543293132855386e-09,-3.073700159734084567e-08,5.018277045187202745e+00,0.000000000000000000e+00
1.749466527079913378e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319231969675835892e-01,5.000015000000014531e+00,-9.927764519557767294e-14,3.935543293132855386e-09,-9.927764519557767294e-14,5.000015000000777476e+00,-3.073700159734084567e-08,3.935543293132855386e-09,-3.073700159734084567e-08,5.018277045187202745e+00,1.000000000000000000e+00
1.749466527125395775e+09,-3.882407301443028480e+00,4.297489697937094455e+00,1.180668318276945072e-01,9.981039979919611310e-03,-3.954285101428288093e-19,1.906866653675300169e-15,-3.954285101388220565e-19,9.981039979919469063e-03,-1.489282647959087711e-14,1.906866653572415352e-15,-1.489282648262566288e-14,2.436643577900661842e-03,0.000000000000000000e+00
1.749466527125819445e+09,-3.882407301443028480e+00,4.297489697937094455e+00,1.180668318276945072e-01,9.981039979919611310e-03,-3.954285101428288093e-19,1.906866653675300169e-15,-3.954285101388220565e-19,9.981039979919469063e-03,-1.489282647959087711e-14,1.906866653572415352e-15,-1.489282648262566288e-14,2.436643577900661842e-03,1.000000000000000000e+00
1.749466527126023531e+09,-3.882407301443028480e+00,4.297489697937094455e+00,1.181226330895137622e-01,9.982039979919610576e-03,-3.954285101428288093e-19,1.906866653675300169e-15,-3.954285101388220565e-19,9.982039979919468328e-03,-1.489282647959087711e-14,1.906866653572415352e-15,-1.489282648262566288e-14,3.655113257047495900e-03,0.000000000000000000e+00
1.749466527141825676e+09,-3.883118383765126858e+00,4.306738582560641682e+00,1.139915014639241164e-01,4.995505959326865253e-03,-9.903491311944407605e-20,2.385870492156485553e-16,-9.903491311844061840e-20,4.995505959326831426e-03,-1.863389617411252914e-15,2.385870492027758738e-16,-1.863389617790964800e-15,9.138337719636207028e-04,1.000000000000000000e+00
1.749466527153093815e+09,-3.878470567349136644e+00,4.310815123295163254e+00,1.127859312123509206e-01,3.331335383331813713e-03,-4.404190304317617026e-20,9.091833187468062062e-17,-4.404190304272992627e-20,3.331335383331798534e-03,-7.100816083881517703e-16,9.091833186977520001e-17,-7.100816085328482860e-16,5.221952543096902060e-04,1.000000000000000000e+00
1.749466527166862011e+09,-3.875623745902414985e+00,4.314300728179498279e+00,1.104209687143384855e-01,2.498875984694666746e-03,-2.478099656331230554e-20,4.773944334927199856e-17,-2.478099656306121844e-20,2.498875984694658506e-03,-3.728500074520888117e-16,4.773944334669625061e-17,-3.728500075280660763e-16,3.655379457247046374e-04,1.000000000000000000e+00
1.749466527173651934e+09,-3.875623745902414985e+00,4.314300728179498279e+00,1.103868005719172984e-01,2.499875984694666878e-03,-2.478099656331230554e-20,4.773944334927199856e-17,-2.478099656306121844e-20,2.499875984694658639e-03,-3.728500074520888117e-16,4.773944334669625061e-17,-3.728500075280660763e-16,1.584007624871538967e-03,0.000000000000000000e+00
1.749466527207410336e+09,-3.875623745902414985e+00,4.314300728179498279e+00,1.103426751005587292e-01,2.500875984694667011e-03,-2.478099656331230554e-20,4.773944334927199856e-17,-2.478099656306121844e-20,2.500875984694658771e-03,-3.728500074520888117e-16,4.773944334669625061e-17,-3.728500075280660763e-16,2.802477304018373243e-03,0.000000000000000000e+00
1.749466527271133661e+09,-3.875623745902414985e+00,4.314300728179498279e+00,1.103559051266613800e-01,2.501875984694667144e-03,-2.478099656331230554e-20,4.773944334927199856e-17,-2.478099656306121844e-20,2.501875984694658904e-03,-3.728500074520888117e-16,4.773944334669625061e-17,-3.728500075280660763e-16,4.020946983165207302e-03,0.000000000000000000e+00
1.749466527288758039e+09,-3.875744566946243808e+00,4.314815914589149592e+00,1.084882908098627752e-01,2.001200450042514394e-03,-1.585507841971987754e-20,8.880429152633028660e-18,-1.585507841955923091e-20,2.001200450042509189e-03,-6.935707338505164970e-17,8.880429152153894267e-18,-6.935707339918485703e-17,9.351044775052768255e-04,1.000000000000000000e+00
1.749466527304805517e+09,-3.875744566946243808e+00,4.314815914589149592e+00,1.084925238949931980e-01,2.002200450042514526e-03,-1.585507841971987754e-20,8.880429152633028660e-18,-1.585507841955923091e-20,2.002200450042509322e-03,-6.935707338505164970e-17,8.880429152153894267e-18,-6.935707339918485703e-17,2.153574156652111101e-03,0.000000000000000000e+00
1.749466527364792109e+09,-3.875769861619428713e+00,4.314813276760662397e+00,1.084811134880765415e-01,2.003200450057499634e-03,-1.436929651554329944e-13,5.680759267669767271e-09,-1.436929651554329944e-13,2.003200451420410286e-03,-5.447395454116869538e-08,5.680759267669767271e-09,-5.447395454116869538e-08,3.372043835798945594e-03,0.000000000000000000e+00
1.749466527427590609e+09,-3.875744566946243808e+00,4.314815914589149592e+00,1.085135631672318191e-01,2.004200450050993253e-03,-8.129997982066861189e-14,-3.214114021039048759e-09,-8.129997982066861189e-14,2.004200450822111665e-03,3.082079225028710045e-08,-3.214114021039048759e-09,3.082079225028710045e-08,4.590513514945779652e-03,0.000000000000000000e+00
1.749466527492567539e+09,-3.873171156135484683e+00,4.314822253409048791e+00,1.082200257365526497e-01,1.669582625172672929e-03,-4.458462657938391333e-14,-5.616201058178198466e-10,-4.458462657938390702e-14,1.669582625595550807e-03,5.385489279997448022e-09,-5.616201058178196398e-10,5.385489279997447195e-09,9.628882272103827383e-04,1.000000000000000000e+00
1.749466527492764235e+09,-3.873171156135484683e+00,4.314822253409048791e+00,1.081858575922494126e-01,1.670582625172672845e-03,-4.458462657938391333e-14,-5.616201058178198466e-10,-4.458462657938390702e-14,1.670582625595550723e-03,5.385489279997448022e-09,-5.616201058178196398e-10,5.385489279997447195e-09,2.181357906357216797e-03,0.000000000000000000e+00
