time,x,y,theta,sigma_00,sigma_01,sigma_02,sigma_10,sigma_11,sigma_12,sigma_20,sigma_21,sigma_22,flag_sensor
1.749467983448051214e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749467988040044785e+09,-4.000000000000000000e+00,4.000000000000000000e+00,3.141592653589793116e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.749467988065843105e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141541881569769323e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000099999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000121846967914685e+01,0.000000000000000000e+00
1.749467988137605429e+09,-4.000000000000000000e+00,4.000000000000000000e+00,-3.141585312037973754e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000199999999850e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000243693935829370e+01,0.000000000000000000e+00
1.749467989007570028e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319536627971946707e-01,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001218469679146850e+00,1.000000000000000000e+00
1.749467989007719755e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319536627971946707e-01,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000001000000000140e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001218469679146850e+00,0.000000000000000000e+00
1.749467989008476973e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319386762285579273e-01,5.000002000000000280e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000002000000000280e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.002436939358293699e+00,0.000000000000000000e+00
1.749467989008674383e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319708605215335062e-01,5.000003000000000419e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000003000000000419e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003655409037440549e+00,0.000000000000000000e+00
1.749467989008840084e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319469781675812747e-01,5.000004000000000559e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000004000000000559e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.004873878716587399e+00,0.000000000000000000e+00
1.749467989009018183e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319674866689175552e-01,5.000005000000000699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000005000000000699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.006092348395734248e+00,0.000000000000000000e+00
1.749467989009183884e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319540924132502902e-01,5.000006000000000839e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000006000000000839e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.007310818074881098e+00,0.000000000000000000e+00
1.749467989009422779e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319321939083373252e-01,5.000007000000000978e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000007000000000978e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.008529287754027948e+00,0.000000000000000000e+00
1.749467989009594679e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319389416138485593e-01,5.000008000000001118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000008000000001118e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.009747757433174797e+00,0.000000000000000000e+00
1.749467989009762526e+09,-3.909397618989470580e+00,4.203576758466483376e+00,1.319427450827044268e-01,5.000009000000001258e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000009000000001258e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.010966227112321647e+00,0.000000000000000000e+00
